HTML File,Status,Title,Description
scoring.html,Available,Live point-by-point scoring,Tap to award points to either team in real time. The interface is optimised for one-handed use during active play.
scoring.html,Available,Set management,Automatic set tracking with configurable winning conditions. TournaQ handles the transition between sets without manual input.
scoring.html,Available,Serving player tracking,The active server is highlighted within the team card. Service changes when the non-serving team scores. The serving player indicator updates automatically on every point.
scoring.html,Available,Score correction,Undo the last point at any time. Mistakes during fast play can be corrected immediately without losing match state.
scoring.html,Planned,Time Control,"React to timeouts or other time affecting events by restarting , pausing, adding or removing time from the timer"
scoring.html,Available,Match result & history,Completed matches are saved locally on the device with full score history per set.
scoring.html,Available,Landscape scorecard,Rotate the device at any point to switch to landscape mode. All controls remain accessible in the rearranged layout — designed for net-post placement or table-side scoring.
scoring.html,Planned,Hard Session Timing,enforce time management
scoring.html,Planned,Target Points Setting,"Set individual Target Points, system will remind you that you have reached the target score"
scoring.html,Available,Side Change Automation,"When the combined score reaches the side-change point, TournaQ shows the Side Change dialog and swaps the counters automatically. Switch the automation off to swap sides manually with gesture control."
scoring.html,Planned,Automatic Referee/Admin Suggestion,Get automatic and fair referee suggestions from the tournament player pool for all games in your tournament.
scoring.html,Planned,Manual Gameplays,Some formats require dynamic administration because players are constantly rotating. With Manual Gameplay the admin selects the new team or players manually after each selection
scoring.html,Planned,Automated Gameplays,Some formats require dynamic administration because players are constantly rotating. With Automated Gameplay player or teams are queued fairly and the admin only needs to take care of scoring and ejecting.
scoring.html,Planned,Auto-Allplay Gameplay,"Some formats require dynamic administration because players are constantly rotating. With Auto-Allplay Gameplay TournaQ automatically assignes and rotates game admins, so no one has to sit out."
tournament-features.html,Available,Tournament creation & setup,"Define the event name, date, venue, number of courts, and participant list before play begins."
tournament-features.html,Available,Match scheduling,Assign matches to courts and time slots. Handle court changes and late adjustments without manual recalculation.
tournament-features.html,Available,Pace alerts,"Every scorecard tracks the scheduled time slot for its match, so players keep an overview of where they stand against the clock and stay on schedule."
tournament-features.html,Available,Injury & withdrawal handling,Mark teams as withdrawn mid-tournament and automatically adjust brackets and standings without corrupting results already recorded.
tournament-features.html,Available,Singleplayer Competitions,Individual Player scramble and randomization. Compete for points per player
tournament-features.html,Available,Share Scorecards and Results via QR Code,Generate QR Codes to share Scorecards and Results even when offline.
tournament-features.html,Available,Multi-court parallel tracking,"Run multiple simultaneous matches across courts within a single event, with results feeding into shared standings."
tournament-features.html,Available,Team Competitions,Compete focus on Partner Play and Team Standings
tournament-features.html,Available,Inline Tournament Editing,Adjust Tournament parameters during the ongoing event.
live-tournament.html,Planned,Multi-device sync,Keep match data in sync across multiple devices at the same event — so scorekeepers and organisers always see the same state.
live-tournament.html,Planned,Live court score display,A consolidated view showing current scores across all active courts — updated in real time as scorekeepers enter points.
live-tournament.html,Planned,Real-time standings,"Group standings and bracket positions update automatically as match results come in, without manual entry or refresh."
live-tournament.html,Planned,Spectator view,"A read-only view of live scores, standings, and match schedules accessible to spectators — no account or app required."
live-tournament.html,Planned,Public tournament URL,"Each event gets a shareable URL that spectators, players, and coaches can open on any device to follow the tournament live."
