ID,Ebene,Struktur,Block,Feld,Text,Neu/Kommentar
home/title,1,The Principle,page,title,The Principle,
home/eyebrow,2,    · Eyebrow,page,eyebrow,The map,
home/h1,2,    · Überschrift,page,h1,The TournaQ Principle,
home/lead,2,    · Lead,page,lead,Every path through the app starts in the same place and ends on a scorecard. What changes in between is how much structure you want around the game. Tap any node to read what it does.,
home/b0,2,    ▸ Flow-Diagramm (im Code gezeichnet),flow,spec,principle,
home/b1/label,2,    ── Abschnitt: Inside the Arena: two ways to compete,sect,label,Inside the Arena: two ways to compete,
home/b2,2,    ▸ Karten-Grid,grid,grid,(2 Karten),
home/b2/c0/label,3,        • Team Competitions,card,label,Team Competitions,
home/b2/c0/cap,4,"            · Players arrive with their partner. Leagues, eliminations, TournaQ Classic, Swiss.",card,cap,"Players arrive with their partner. Leagues, eliminations, TournaQ Classic, Swiss.",
home/b2/c1/label,3,        • Scramble Competitions,card,label,Scramble Competitions,
home/b2/c1/cap,4,"            · Everyone signs up alone. TournaQ keeps redrawing who you play with, all session.",card,cap,"Everyone signs up alone. TournaQ keeps redrawing who you play with, all session.",
home/b3/label,2,    ── Abschnitt: All eight modes,sect,label,All eight modes,
home/b4,2,    ▸ Karten-Grid,grid,grid,(8 Karten),
home/b4/c0/label,3,        • League,card,label,League,
home/b4/c0/cap,4,"            · Round robin, one or two legs.",card,cap,"Round robin, one or two legs.",
home/b4/c1/label,3,        • Eliminations,card,label,Eliminations,
home/b4/c1/cap,4,            · Single or double elimination.,card,cap,Single or double elimination.,
home/b4/c2/label,3,        • TournaQ Classic,card,label,TournaQ Classic,
home/b4/c2/cap,4,            · Group stage into knockout tiers.,card,cap,Group stage into knockout tiers.,
home/b4/c3/label,3,        • Swiss System,card,label,Swiss System,
home/b4/c3/cap,4,            · Paired each round by score.,card,cap,Paired each round by score.,
home/b4/c4/label,3,        • Social Scramble,card,label,Social Scramble,
home/b4/c4/cap,4,"            · Timed rounds, teams redrawn every time.",card,cap,"Timed rounds, teams redrawn every time.",
home/b4/c5/label,3,        • Scramble King,card,label,Scramble King,
home/b4/c5/cap,4,            · King of the court with a partner for the round.,card,cap,King of the court with a partner for the round.,
home/b4/c6/label,3,        • King of the Court,card,label,King of the Court,
home/b4/c6/cap,4,"            · Hold the court, new partner every stint.",card,cap,"Hold the court, new partner every stint.",
home/b4/c7/label,3,        • Doghouse,card,label,Doghouse,
home/b4/c7/cap,4,            · Score side-outs to escape.,card,cap,Score side-outs to escape.,
home/b5/title,2,    ▸ Note: Draft note · scope,note,title,Draft note · scope,
home/b5/body,3,        · Notiztext,note,body,"This page replaces the current two-panel Principle screen. The existing panels become the <b>flow map</b> above; everything else is new depth reached by tapping a node. Nothing here navigates <b>into</b> the app — the guide stays a place to read, which is the rule the current explainers already follow.",
administration/title,1,Administration,page,title,Administration,
administration/eyebrow,2,    · Eyebrow,page,eyebrow,Step 1 · optional,
administration/h1,2,    · Überschrift,page,h1,Administration,
administration/lead,2,    · Lead,page,lead,"Everything you set up once, so you never type it twice. Skip it entirely and add people as you go — Administration only pays off from the second session onwards.",
administration/b0/badge,2,    ▸ Panel: Administration,panel,badge,Administration,
administration/b0/sub,3,        · Unterzeile,panel,sub,"Three areas, one shared address book.",
administration/b0/i0/label,3,        • Players,item,label,Players,
administration/b0/i0/cap,4,"            · Name, and whatever else you want on record.",item,cap,"Name, and whatever else you want on record.",
administration/b0/i1/label,3,        • Teams,item,label,Teams,
administration/b0/i1/cap,4,            · Fixed pairings for the bracket modes.,item,cap,Fixed pairings for the bracket modes.,
administration/b0/i2/label,3,        • Groups,item,label,Groups,
administration/b0/i2/cap,4,"            · Clubs, levels, courses — used to filter rosters later.",item,cap,"Clubs, levels, courses — used to filter rosters later.",
administration/b1/label,2,    ── Abschnitt: Two ways to fill it,sect,label,Two ways to fill it,
administration/b2/badge,2,    ▸ Panel: By hand,panel,badge,By hand,
administration/b2/sub,3,        · Unterzeile,panel,sub,Fine for a handful of people.,
administration/b2/i0/label,3,        • Add a player,item,label,Add a player,
administration/b2/i0/cap,4,"            · One at a time, straight into the list.",item,cap,"One at a time, straight into the list.",
administration/b2/i1/label,3,        • Edit or remove,item,label,Edit or remove,
administration/b2/i1/cap,4,"            · Fix a name, retire a player, move someone between groups.",item,cap,"Fix a name, retire a player, move someone between groups.",
administration/b3/badge,2,    ▸ Panel: By spreadsheet,panel,badge,By spreadsheet,
administration/b3/sub,3,        · Unterzeile,panel,sub,The fast lane for a whole club.,
administration/b3/i0/label,3,        • Download template,step,label,Download template,
administration/b3/i0/cap,4,            · An XLS with the right columns already in place.,step,cap,An XLS with the right columns already in place.,
administration/b3/i1/label,3,        • Fill it in,step,label,Fill it in,
administration/b3/i1/cap,4,"            · Players, teams and groups in one file — type or paste from wherever your list already lives.",step,cap,"Players, teams and groups in one file — type or paste from wherever your list already lives.",
administration/b3/i2/label,3,        • Import it back,step,label,Import it back,
administration/b3/i2/cap,4,            · TournaQ reads the file and creates everything it finds.,step,cap,TournaQ reads the file and creates everything it finds.,
administration/b3/i3/label,3,        • Ready to use,step,label,Ready to use,
administration/b3/i3/cap,4,            · Your roster is available to every tournament from now on.,step,cap,Your roster is available to every tournament from now on.,
administration/b4/title,2,    ▸ Box: It is a round trip,fbox,title,It is a round trip,
administration/b4/body,3,        · Fließtext,fbox,body,"Export, edit, import. The same template carries your data out and back in, so a season of changes never has to be retyped inside the app.",
administration/b5/label,2,    ── Abschnitt: What it feeds,sect,label,What it feeds,
administration/b6/title,2,    ▸ Box: Tournament Setup,fbox,title,Tournament Setup,
administration/b6/body,3,        · Fließtext,fbox,body,"Every setup sheet pulls from here. Filter by group, search by name, or add the whole group with one tap — instead of typing twenty names at the side of a court.",
administration/b7/title,2,    ▸ Box: Why it is worth it,fbox,title,Why it is worth it,
administration/b7/l0/title,3,"        • Set up a tournament in seconds, not minutes",fbox-line,title,"Set up a tournament in seconds, not minutes",
administration/b7/l1/title,3,"        • Same names, same spelling, every session",fbox-line,title,"Same names, same spelling, every session",
administration/b7/l2/title,3,        • Groups keep big rosters manageable,fbox-line,title,Groups keep big rosters manageable,
administration/b7/l3/title,3,        • Results stay attached to real people over time,fbox-line,title,Results stay attached to real people over time,
arena/title,1,TournaQ Arena,page,title,TournaQ Arena,
arena/eyebrow,2,    · Eyebrow,page,eyebrow,Step 2,
arena/h1,2,    · Überschrift,page,h1,TournaQ Arena,
arena/lead,2,    · Lead,page,lead,"The Arena is the one place where you choose what you are about to run. Every mode in the app lives behind this screen, sorted by what kind of session you want.",
arena/b0/badge,2,    ▸ Panel: Styles,panel,badge,Styles,
arena/b0/sub,3,        · Unterzeile,panel,sub,What the modes are built for.,
arena/b0/i0/label,3,        • Sports,item,label,Sports,
arena/b0/i0/cap,4,"            · Classic volleyball, footvolley, and any sport that counts the same way.",item,cap,"Classic volleyball, footvolley, and any sport that counts the same way.",
arena/b0/i1/label,3,        • Team sizes,item,label,Team sizes,
arena/b0/i1/cap,4,            · Anything from 2 to 6 players a side.,item,cap,Anything from 2 to 6 players a side.,
arena/b1/label,2,    ── Abschnitt: Then: how long is it?,sect,label,Then: how long is it?,
arena/b2,2,    ▸ Karten-Grid,grid,grid,(2 Karten),
arena/b2/c0/label,3,        • Standalone game,card,label,Standalone game,
arena/b2/c0/cap,4,"            · One match, no structure around it. That is Quick Game.",card,cap,"One match, no structure around it. That is Quick Game.",
arena/b2/c1/label,3,        • A tournament,card,label,A tournament,
arena/b2/c1/cap,4,"            · A session with rounds, standings and a schedule.",card,cap,"A session with rounds, standings and a schedule.",
arena/b3/label,2,    ── Abschnitt: And: who shows up?,sect,label,And: who shows up?,
arena/b4,2,    ▸ Karten-Grid,grid,grid,(2 Karten),
arena/b4/c0/label,3,        • Team Competitions / Brackets,card,label,Team Competitions / Brackets,
arena/b4/c0/cap,4,            · Classic tournament modes where players arrive with their partner.,card,cap,Classic tournament modes where players arrive with their partner.,
arena/b4/c1/label,3,        • Scramble Competitions,card,label,Scramble Competitions,
arena/b4/c1/cap,4,            · TournaQ scrambles the pool so you play with and against as many people as possible.,card,cap,TournaQ scrambles the pool so you play with and against as many people as possible.,
arena/b5/title,2,    ▸ Box: Every mode comes with the scorecard it needs,fbox,title,Every mode comes with the scorecard it needs,
arena/b5/body,3,        · Fließtext,fbox,body,"Team competitions get the classic scorecard with sets and target points. The scramble competitions get one of two, depending on how the round is scored — the timed card, or the one that shows the queue.",
arena/b5/l0/title,3,        • Classic scorecard,fbox-line,title,Classic scorecard,
arena/b5/l0/body,4,"            · Leagues, eliminations, TournaQ Classic, Swiss, Quick Game",fbox-line,body,"Leagues, eliminations, TournaQ Classic, Swiss, Quick Game",
arena/b5/l1/title,3,        • Scramble scorecard,fbox-line,title,Scramble scorecard,
