Seite,Abschnitt,Element,Beschriftung in der App,Aktion,Bearbeitbar hier?,Bedingung / Sperrgrund,Wofür
TournaQ — Tournament Page: alle Bedienelemente,Das Modell in einem Absatz,Action: `context`,Glyph: keins,Farbe: grau,"Bedeutung: Feststellung. Nichts kann diesen Wert ändern, also gibt es nichts zu tippen.",,
TournaQ — Tournament Page: alle Bedienelemente,Das Modell in einem Absatz,Action: `drillIn`,Glyph: `›`,Farbe: oliv,"Bedeutung: Öffnet etwas — Tabelle, Roster, Courtraster, Zeitleiste.",,
TournaQ — Tournament Page: alle Bedienelemente,Das Modell in einem Absatz,Action: `edit`,Glyph: Stift,Farbe: oliv,Bedeutung: Hier bearbeitbar. Öffnet ein Sheet und schreibt direkt ins Turnier zurück.,,
TournaQ — Tournament Page: alle Bedienelemente,Das Modell in einem Absatz,Action: `locked`,Glyph: Schloss,Farbe: oliv,"Bedeutung: Existiert und ist änderbar — nur nicht hier oder nicht mehr. Der Tipp erklärt, welches von beidem.",,
TournaQ — Tournament Page: alle Bedienelemente,Die drei Sperrgründe,Grund: `drawStarted`,"Text in der App (wörtlich): **""The draw is set""** — ""The draw is fixed once a match has started.""","Wann: Sobald ein Match gestartet oder gespielt wurde. Betrifft Redraw, Adjust draw, Legs, Odd Teams, Format; bei Swiss zusätzlich den Reroll der ersten Runde. Ein Freilos zählt dabei nicht als Ergebnis, ein Walkover schon.",,,
TournaQ — Tournament Page: alle Bedienelemente,Die drei Sperrgründe,Grund: `notFromHere`,"Text in der App (wörtlich): **""Not from here""** — ""This belongs to the tournament, not to one game. Change it in the tournament overview, where it applies to the whole event.""","Wann: Jede Turniereinstellung, die von einer Scorecard aus gesehen wird.",,,
TournaQ — Tournament Page: alle Bedienelemente,Die drei Sperrgründe,Grund: `multiCourt`,"Text in der App (wörtlich): **""Locked while multiple courts are running""** — ""This session runs on {courts} courts, and every court feeds one shared ranking. Changing the format here would rescore only these players against everyone else's unchanged rules. Change it from the tournament overview instead, where it applies to every court at once. On a single-court session you can edit it right here.""","Wann: Format-Einstellungen auf einer Scorecard, solange die Session auf mehr als einem Court läuft.",,,
"1 · Die Pills, Modus für Modus",1.1 League — `lib/pages/league_table_page.dart`,standings,"""Standings""",öffnet die Tabelle,Navigation,—,"Der Stand, wie er ist"
"1 · Die Pills, Modus für Modus",1.1 League — `lib/pages/league_table_page.dart`,crosstable,"""Crosstable""",öffnet das Raster,Navigation,"League hat als einziger Modus eine eigene Crosstable-Pill — seine Standings haben keinen Bracket-Tab, über den man ins Raster käme","Wer gegen wen gespielt hat, und wie es ausging"
"1 · Die Pills, Modus für Modus",1.1 League — `lib/pages/league_table_page.dart`,allocation,"""Allocation""",öffnet das Courtraster,Navigation,—,Welche Partie auf welchem Court liegt
"1 · Die Pills, Modus für Modus",1.1 League — `lib/pages/league_table_page.dart`,teams,"""{count} teams""",öffnet das Roster,"Navigation, im Sheet dann bearbeitbar",Bearbeiten/Tauschen nur solange die Seite das Roster besitzt; Withdraw nur im laufenden Turnier,"Team ändern, tauschen, zurückziehen"
"1 · Die Pills, Modus für Modus",1.1 League — `lib/pages/league_table_page.dart`,teamSize,"""2v2""",keine,nein — Feststellung,"Ändern würde die ganze Auslosung neu mischen, also gibt es dafür nirgends einen Editor",Gegen welche Mannschaftsgröße gezogen wurde
"1 · Die Pills, Modus für Modus",1.1 League — `lib/pages/league_table_page.dart`,courts,"""{count} courts""",öffnet das Court-Sheet,ja,Bis nichts mehr umzuplanen ist; nie unter einen Court mit laufendem Match; bis 32,"Netz weg oder Netz dazu, mitten am Tag"
"1 · Die Pills, Modus für Modus",1.1 League — `lib/pages/league_table_page.dart`,referees,"""Refs covered"" bzw. ""{gap} without a ref""",öffnet die Schiri-Deckung,ja,"Gilt ab der nächsten ungespielten Einheit: ""Applies from {unit} — what has been played keeps its courts and times.""",Ob die gleich startenden Partien jemanden zum Pfeifen haben
"1 · Die Pills, Modus für Modus",1.1 League — `lib/pages/league_table_page.dart`,seeding,"""Random"" (bzw. ""Seeded"")",keine,nein — Feststellung,"Seeded ist gebaut, aber nicht ausgeliefert; es gibt also genau einen erreichbaren Wert",„Wie wurde ausgelost?“ ist eine echte Frage
"1 · Die Pills, Modus für Modus",1.1 League — `lib/pages/league_table_page.dart`,legs,"""Single"" / ""Double""",öffnet Bracket generation,"ja, bis zum ersten Match",Danach `drawStarted`,Einfache oder doppelte Runde
"1 · Die Pills, Modus für Modus",1.1 League — `lib/pages/league_table_page.dart`,walkovers,"""{count} walkovers""",öffnet die Liste,nein — Feststellung,"Bei 0 nicht tippbar, bleibt aber stehen, damit die Zeile ihre Form behält",Was ein Rückzug entschieden hat
"1 · Die Pills, Modus für Modus",1.1 League — `lib/pages/league_table_page.dart`,estFinish,"""Ends {time}"" bzw. ""Set schedule""",öffnet die Zeitleiste,Navigation,—,"Voraussichtliches Ende, plus Pace alerts"
"1 · Die Pills, Modus für Modus",1.2 Elimination — `lib/pages/elimination_bracket_page.dart`,bracketView / standings,"""Bracket"" (Double) bzw. ""Standings"" (Single)",öffnet die Ansicht,Navigation,—,Der Baum bzw. die Tabelle
"1 · Die Pills, Modus für Modus",1.2 Elimination — `lib/pages/elimination_bracket_page.dart`,allocation,"""Allocation""",öffnet das Courtraster,Navigation,—,Welche Partie auf welchem Court liegt
"1 · Die Pills, Modus für Modus",1.2 Elimination — `lib/pages/elimination_bracket_page.dart`,teams,"""{count} teams""",öffnet das Roster,"Navigation, im Sheet bearbeitbar",Withdraw nur im laufenden Turnier,"Team ändern, tauschen, zurückziehen"
"1 · Die Pills, Modus für Modus",1.2 Elimination — `lib/pages/elimination_bracket_page.dart`,teamSize,"""2v2""",keine,nein — Feststellung,—,Mannschaftsgröße der Auslosung
"1 · Die Pills, Modus für Modus",1.2 Elimination — `lib/pages/elimination_bracket_page.dart`,drawFormat,"""Single Elimination"" / ""Double Elimination""",öffnet die Formatwahl,"ja, bis zum ersten Match",Danach `drawStarted` — Umschalten heißt neu auslosen,Ein Leben oder zwei
"1 · Die Pills, Modus für Modus",1.2 Elimination — `lib/pages/elimination_bracket_page.dart`,courts,"""{count} courts""",öffnet das Court-Sheet,ja,wie League,Wie viele Partien gleichzeitig
"1 · Die Pills, Modus für Modus",1.2 Elimination — `lib/pages/elimination_bracket_page.dart`,referees,"""Refs covered"" / ""{gap} without a ref""",öffnet die Schiri-Deckung,ja,ab der nächsten ungespielten Runde,Schiris aus dem Feld
"1 · Die Pills, Modus für Modus",1.2 Elimination — `lib/pages/elimination_bracket_page.dart`,seeding,"""Random""",keine,nein — Feststellung,—,Wie gezogen wurde
"1 · Die Pills, Modus für Modus",1.2 Elimination — `lib/pages/elimination_bracket_page.dart`,reroll,"""Redraw""",zieht neu,"ja, bis zum ersten Match",Danach `drawStarted`,„Diese Auslosung gefällt mir nicht“
"1 · Die Pills, Modus für Modus",1.2 Elimination — `lib/pages/elimination_bracket_page.dart`,drawAdjust,"""Adjust draw""",öffnet den Tauschdialog,"ja, bis zum ersten Match","Immer ein Tausch, nie ein einseitiges Verschieben",Zwei Teams von Hand vertauschen
"1 · Die Pills, Modus für Modus",1.2 Elimination — `lib/pages/elimination_bracket_page.dart`,oddTeams,"""Byes"" / ""Play-in"" / ""Play-in+""",öffnet Bracket generation,"ja, bis zum ersten Match",Nur Single Elimination — Double nutzt immer Freilose,Wie ein ungerades Feld aufgeht
"1 · Die Pills, Modus für Modus",1.2 Elimination — `lib/pages/elimination_bracket_page.dart`,grandFinal,"""Single match"" / ""Bracket reset""",öffnet die Finalwahl,"ja, bis das Finale gespielt ist","Nur Double Elimination. Bewusst spät änderbar: man weiß erst, ob man einen Reset will, wenn man sieht, wer im Finale steht",Wie der Titel entschieden wird
"1 · Die Pills, Modus für Modus",1.2 Elimination — `lib/pages/elimination_bracket_page.dart`,byes,"""{count} byes""",öffnet die Liste,nein — Feststellung,Bei 0 nicht tippbar,Wer eine Runde übersprungen hat
"1 · Die Pills, Modus für Modus",1.2 Elimination — `lib/pages/elimination_bracket_page.dart`,walkovers,"""{count} walkovers""",öffnet die Liste,nein — Feststellung,Bei 0 nicht tippbar,Was ein Rückzug entschieden hat
"1 · Die Pills, Modus für Modus",1.2 Elimination — `lib/pages/elimination_bracket_page.dart`,estFinish,"""Ends {time}""",öffnet die Zeitleiste,Navigation,—,Voraussichtliches Ende
"1 · Die Pills, Modus für Modus",1.4 Swiss System — `lib/pages/swiss_rounds_page.dart`,standings,"""Standings""",öffnet die Tabelle,Navigation,—,Woraus die nächste Runde gepaart wird
"1 · Die Pills, Modus für Modus",1.4 Swiss System — `lib/pages/swiss_rounds_page.dart`,allocation,"""Allocation""",öffnet das Courtraster,Navigation,—,Court-Zuordnung
