Seite,Abschnitt,Bedienelement,Was es tut,Wann sichtbar / Bedingung,Text in der App (wörtlich)
1 · Classic Scorecard,,Punkte-Buttons,"Plus gibt der Seite den Punkt, Minus nimmt ihn zurück. Aufschlag wechselt automatisch zu der Seite, die gerade gepunktet hat; die Rotation rückt einen Platz weiter",Bis Satz oder Match abgeschlossen ist — danach ausgegraut,—
1 · Classic Scorecard,,Serves-first-Banner,"Wer den Aufschlag hat, bevor der erste Punkt fällt",Bis zum ersten Punkt; im Querformat aus Platzgründen weggelassen,—
1 · Classic Scorecard,,Satzübersicht,Eine Karte je Satz mit Stand; Tippen macht den Satz zum aktiven,Formate mit mehr als einem Satz,"""Set {n} · to {target}"""
1 · Classic Scorecard,,Seitenwechsel-Erinnerung,"Dialog am Wechselpunkt, danach tauschen die Zähler mit",Wenn das Format ein Seitenwechsel-Intervall hat,"""Side Change"" · ""Total score is {score}. Teams must switch sides now."" · ""Sides Switched — Continue"""
1 · Classic Scorecard,,Zielpunkt-Abfrage,"Fragt, ob der Satz gewonnen ist","Beim Erreichen der Zielpunktzahl, solange „Notify at target score“ an ist","""{team} reached the target. Set {set} is won."" · ""Complete Set"" / ""Complete Game"" · ""Keep Playing"""
1 · Classic Scorecard,,Match Options,Drei Einträge hinter dem Regler-Icon,Immer,"""Swap Sides — Switch left and right display"" · ""Change Service — Advance to next server"" · ""Match History — View point-by-point history"""
1 · Classic Scorecard,,Match History,"Ballwechsel für Ballwechsel, nach Sätzen gruppiert",Aus den Match Options,"""Match History"" · ""Set {n} · to {target}"" · ""Final: {s1} – {s2}"" · leer: ""No scoring history yet"""
1 · Classic Scorecard,,Schedule-Karte,Geplanter Start und geplantes Ende dieser Partie,Nur wenn Pace alerts für das Event an sind,"""Planned start"" · ""Planned end"" · ""Over schedule!"" · Status ""Upcoming"" / ""Due"" / ""Overdue"" / ""Completed"""
1 · Classic Scorecard,,Schiri-Banner,Vorschlag oder Aufforderung,Wenn das Event Schiris stellt,"""{name} suggested as referee"" · ""Assign a referee manually"""
1 · Classic Scorecard,,Match Controls,"Start, Satz, Match, zurück",Unten auf der Karte,"""Start Match"" · ""Complete Set"" / ""Undo Set Completion"" · ""Complete Game"" / ""Undo Game Completion"" · ""Back to Schedule"""
1 · Classic Scorecard,,Sperr-Banner,Legt die Punkte-Buttons still,Sobald ein Satz oder das Match fertig ist,"""Match complete"" (mit Sieger) · ""Set complete — undo set to edit score"""
1 · Classic Scorecard,,QR-Menü in der Titelzeile,Karte weitergeben oder Ergebnis von Hand setzen,Nur bei 0–0 und wieder nach Abschluss — mitten im Match ausgeblendet,"""Export scorecard"" · ""Manually Set Score"" · Hilfetext: ""Use this when the game was played without live scoring. Enter the final score for both sides and complete the game."""
1 · Classic Scorecard,,Pill-Row,Match-Kontext plus die Event-Einstellungen,"Unter dem Titel. Alle Event-Einstellungen sind hier gesperrt; das Roster ist die Ausnahme, es schreibt über denselben Adapter wie der Punktestand","Kontext-Pills: Name, Position, Court, ""{n} sets"", ""{n} pts"", Dauer"
1 · Classic Scorecard,,Querformat,"Dieselben Bedienelemente, neu angeordnet für Netzpfosten oder Beistelltisch",Jederzeit,—
1 · Classic Scorecard,1.1 Was pro Modus dazukommt,Modus: League,"Besonderheit: Position ist schlicht Runde und Match, weil es keinen Baum gibt, aus dem sich eine Position lesen ließe","Text in der App (wörtlich): ""Round {n} · Match {m}""",
1 · Classic Scorecard,1.1 Was pro Modus dazukommt,Modus: Elimination,"Besonderheit: Schutz, wenn die Folgepartie schon läuft: der Sieger steht fest, die Punkte bleiben korrigierbar","Text in der App (wörtlich): ""Winner can't change"" · ""The next match has already started, so the winner of this match can't change. You can still correct the points as long as the same team wins.""",
1 · Classic Scorecard,1.1 Was pro Modus dazukommt,Modus: Swiss,"Besonderheit: Der Abschluss der letzten Partie einer Runde paart die nächste sofort — die Scorecard führt den Reconcile selbst aus, nicht erst die Rundenseite",Text in der App (wörtlich): —,
1 · Classic Scorecard,1.1 Was pro Modus dazukommt,Modus: TournaQ Classic,Besonderheit: Position nennt Phase und Tier,Text in der App (wörtlich): —,
1 · Classic Scorecard,1.1 Was pro Modus dazukommt,Modus: Quick Game,"Besonderheit: Zielpunktzahl und Seitenwechsel sind Dropdowns auf der Karte selbst, weil es kein Turnier gibt, von dem sie geerbt würden. Optionen heißen „Swap Teams“, Abschluss ist „Save & Return to Games“. Tippen auf einen Teamnamen öffnet die Aufstellung","Text in der App (wörtlich): ""Target score:"" · ""Side swap"" / ""No side swap"" · ""Custom…"" · ""Swap Teams — Switch left and right sides"" · ""Save & Return to Games""",
2 · Scramble Scorecard,,Rundenuhr,"Countdown der Runde, mit Anhalten, Fortsetzen und Neustart. Eine Pause friert die Restzeit ein und speichert sie, damit das Verlassen der Seite die Uhr nicht kostet",Immer,"""Stop"" · ""Resume"" · ""Start"" / ""Restart"""
2 · Scramble Scorecard,,Punkte-Buttons,"Plus und Minus je Seite, Aufschlag wechselt automatisch",Immer,—
2 · Scramble Scorecard,,Serves-first-Banner,Wer die Runde aufschlägt,Bis zum ersten Punkt,—
2 · Scramble Scorecard,,Schiri-Banner,"Wer pfeift, oder die Aufforderung, jemanden zu bestimmen",Wenn dieser Court einen Schiri-Platz hat,"""{name} refs"" · ""Assign a referee manually"""
2 · Scramble Scorecard,,Spieler-Pills,Tippen schickt jemanden in die Pause; der Platz wird ein Platzhalter. Tippen auf den Platzhalter holt zurück,Solange eine spätere Runde zum Zurückkommen bleibt; auf einer importierten Karte nicht angeboten,"""{name} is on a break — their seat is a Placeholder."" · ""{name} is back in the rotation."" · ""No round left to sit out."""
2 · Scramble Scorecard,,Upcoming Games,"Die nächsten Partien, nach Runden gruppiert, je mit Schiri",Unter der Karte,"""{count} courts — played in parallel"" · ""{name} refs"""
2 · Scramble Scorecard,,QR-Menü,Karte weitergeben oder Ergebnis von Hand setzen,Solange das Board live ist,"""Export scorecard"" / ""Export result"" · ""Manually Set Score"""
2 · Scramble Scorecard,,Pill-Row,"Name (bearbeitbar — ein Name formt nichts um), Runde, Court, Format, Rounds, Courts","Die drei Format-Pills sind nur auf einer Ein-Court-Session bearbeitbar, sonst gesperrt","""Format"" · ""Rounds"" · ""Courts"" · ""Est. finish: {time}"" / ""Finished: {time}"""
2 · Scramble Scorecard,,Zurück,Zur Übersicht bzw. zum Hub,Unten auf der Karte,"""Back to Schedule"" · ""Back to Hub"""
3 · Queue Scorecard,,Court,"Wer gerade hält, und die Punkte dieser Runde",Immer,"""Court"""
3 · Queue Scorecard,,Challengers,"Die Seite, die als Nächste drankommt",Immer,"""Challengers"" · ""Waiting for players..."""
3 · Queue Scorecard,,Up Next,"Die Stufe dahinter, mit Neuauslosung",Automatische Zuteilung,"""Up Next"" · ""Re-roll"" · ""Not enough players in queue."""
3 · Queue Scorecard,,Punkte-Buttons,"Zählt, was die Seite auf dem Court macht",Immer,—
3 · Queue Scorecard,,Session-Timer,Countdown der Runde,Immer,"""SESSION TIMER"" · ""Stop"" · ""Resume"" · ""Start"" / ""Restart"""
3 · Queue Scorecard,,Eject,Schickt die Seite runter und holt die nächste hoch,"Immer — manuelles Ablösen bleibt möglich, unabhängig von den automatischen Schwellen","""Eject"" · ""Eject / Challenger"""
3 · Queue Scorecard,,Automatische Eject-Prompts,"Melden Sieg, Entkommen oder Rauswurf und lösen ab",Nur wenn die jeweilige Schwelle über 0 steht,"King of the Court: ""Game Won!"" · ""{names} reached {points} points!"" · ""They will be ejected and return to the queue."" · ""Eject Team"" — Royal Shuffle zusätzlich: ""Escaped!"" und ""Ejected!"" · ""{names} lost {count} games!"" · ""They are ejected from the doghouse and return to the queue."""
3 · Queue Scorecard,,Undo,Nimmt den letzten Schritt zurück,Nach einer Ablösung und während einer manuellen Auswahl; mit Punkten auf dem Board erst nach Rückfrage,"""Undo"" · ""Discard recorded points?"" · ""The team currently on court has {points} point(s) recorded. Undoing will discard them."" · ""Discard and undo"""
3 · Queue Scorecard,,Schiri wechseln,Übergibt das Zählen an jemand anderen,Auto-Allplay,"""Change referee"" · ""Select who referees this court. The current one returns to the queue."" · ""NEXT REFEREE"" · ""Suggested from the current court team."""
3 · Queue Scorecard,,Spieler-Pills,"Pause und Rückkehr, wie auf der Scramble-Karte",Solange eine spätere Runde bleibt,wie oben
