Seite,Abschnitt,Einstellung,Werte / Presets,Default,Grenzen,Bedingungen & Warnungen,Wofür,Hilfetext in der App (wörtlich)
0 · Was auf jeder Setup-Seite gleich ist,0.1 Schedule Preview — Zeitsteuerung,Startdatum,Datumsauswahl,heute (bzw. Tag der Startzeit),gestern bis +365 Tage,"nur Bracket-Modi (League, Elimination, TournaQ Classic, Swiss); Player-Pool-Modi haben nur eine Uhrzeit","Legt fest, ab wann geplant wird; erlaubt mehrtägige Events",—
0 · Was auf jeder Setup-Seite gleich ist,0.1 Schedule Preview — Zeitsteuerung,Startzeit,Zeitauswahl,"jetzt + 1 Stunde (Bracket) bzw. ""Now"" (Player Pool)",—,"Player-Pool-Modi zeigen ""Start: Now"", bis eine Zeit gewählt wird",Anker für alle Zeitschätzungen,—
0 · Was auf jeder Setup-Seite gleich ist,0.1 Schedule Preview — Zeitsteuerung,Game format,"öffnet Sheet, siehe 0.2","1 × 15, Seitenwechsel alle 5, Hinweis an",—,"nur Bracket-Modi; Zusatzzeile ""{count} rounds differ"", sobald einzelne Runden abweichen",Wie viel gespielt wird — Sätze und Zielpunktzahl,"""Applies to every round. Individual rounds can differ."""
0 · Was auf jeder Setup-Seite gleich ist,0.1 Schedule Preview — Zeitsteuerung,Game pace,"öffnet Sheet, siehe 0.3",Standard · 60 s,ab 5 s,nur Bracket-Modi,Wie lange ein Ballwechsel dauert — daraus folgt jede Zeitangabe,"""How long a rally takes on average. Drives every time estimate for this tournament."""
0 · Was auf jeder Setup-Seite gleich ist,0.1 Schedule Preview — Zeitsteuerung,Format je Slot / Runde,"dasselbe Sheet plus ""Use the default""",erbt den Default,—,"nur in der aufgeklappten Detailliste; Reset erscheint nur, solange eine Abweichung gesetzt ist",Einzelne Runde kürzer oder länger spielen,—
0 · Was auf jeder Setup-Seite gleich ist,0.1 Schedule Preview — Zeitsteuerung,Pause nach Slot / Runde,"0, 5, 10, 15, 20, 30, 45, 60 min plus freie Eingabe",0 (keine Pause),0 bis 1440 min (24 h),"letzte Runde hat keine Pause; erscheint als ""Add break"", solange 0","Mittagspause, Siegerehrung, Platzwechsel einplanen","""Custom length"" · Eingabehilfe ""e.g. 25"""
0 · Was auf jeder Setup-Seite gleich ist,0.1 Schedule Preview — Zeitsteuerung,Slot-Start verankern,"""Set start day & time"" oder ""Remove — back to auto""",automatisch,gestern bis +365 Tage,"nur Bracket-Modi; ""custom start"" markiert verankerte Slots",Mehrtägige Events oder feste Anspielzeiten fixieren,—
0 · Was auf jeder Setup-Seite gleich ist,0.1 Schedule Preview — Zeitsteuerung,Detail ein-/ausklappen,"""Show all {count} slots"" / ""Hide detail""",eingeklappt,—,Expander erscheint erst ab mehr als 4 Slots; darunter steht die Liste immer offen,"Übersicht behalten, ohne die Rundenliste zu verlieren",—
0 · Was auf jeder Setup-Seite gleich ist,0.2 Game format sheet (`lib/widgets/game_format_sheet.dart`),Sets per game,"1, 3, 5",1,nur diese drei,—,Best-of-Format des Spiels,—
0 · Was auf jeder Setup-Seite gleich ist,0.2 Game format sheet (`lib/widgets/game_format_sheet.dart`),Target score,"11, 15, 21, ""Custom…""",15,ab 1,—,Zielpunktzahl je Satz,—
